,Week_ID,Year,Away_Team,Away_Score,Home_Team,Home_Score,Favored_Team,Vegas_Line,Away_PPG_ma,Away_FD_ma,Away_RYPG_ma,Away_PYPG_ma,Away_TO_ma,Away_PPGA_ma,Away_FDA_ma,Away_RYPGA_ma,Away_PYPGA_ma,Away_TOA_ma,Away_Win_Rate,Home_PPG_ma,Home_FD_ma,Home_RYPG_ma,Home_PYPG_ma,Home_TO_ma,Home_PPGA_ma,Home_FDA_ma,Home_RYPGA_ma,Home_PYPGA_ma,Home_TOA_ma,Home_Win_Rate,Away_Elo,Home_Elo,CF_Result,Point_Differential
325,325,2003,16,21,3,27,3,-3.0,17.0,19.75,134.75,203.75,1.75,30.5,20.5,150.0,217.25,1.25,0.0,18.25,16.75,100.25,206.25,1.75,27.25,18.75,87.0,223.25,1.75,0.125,1386.487322909201,1428.0957347226206,0.48853373527526855,-6
326,326,2003,29,25,13,27,13,-4.5,22.5,20.0,132.0,235.75,1.25,21.25,19.0,97.75,209.0,1.5,0.625,10.0,16.0,115.5,148.75,2.25,17.75,18.5,96.5,255.0,1.5,0.625,1466.6835211561136,1665.846417921164,0.16323502361774445,-2
327,327,2003,22,17,31,24,31,-7.5,19.25,17.0,85.75,199.5,1.5,24.5,18.0,125.25,252.75,1.75,0.125,23.0,19.0,132.5,222.0,1.75,20.5,17.0,74.0,178.5,2.75,0.375,1257.8888237928177,1563.117090318069,0.09538131952285767,-7
328,328,2003,12,33,28,13,28,-7.0,11.5,16.25,69.5,191.75,2.0,18.75,16.0,141.25,164.75,1.5,0.5,21.0,21.0,88.75,279.0,2.0,24.0,14.0,86.0,137.25,1.25,0.625,1490.1364414516534,1575.3496230359456,0.049529995769262314,20
329,329,2003,23,38,6,35,6,-4.5,30.0,18.75,91.75,225.5,0.75,11.75,16.75,114.5,171.75,2.25,0.75,18.0,19.25,110.75,217.5,0.75,5.5,13.5,101.5,112.75,3.25,0.625,1677.2622216186812,1725.6254895203351,0.9819896221160889,3
330,330,2003,0,23,23,20,23,-4.0,19.5,17.75,167.75,124.75,1.5,12.0,17.5,108.5,226.25,1.0,0.875,37.25,20.25,93.5,269.75,0.75,19.0,18.5,124.75,205.75,2.0,0.875,1524.6528995043482,1689.4763082704778,0.7153255343437195,3
331,331,2003,20,24,3,10,20,-3.5,20.25,18.75,143.25,175.5,2.0,12.0,16.5,66.5,245.5,2.0,0.625,19.25,17.75,112.25,220.5,1.75,26.5,19.75,73.75,262.5,1.75,0.25,1660.9319132902253,1449.4699063843314,0.5191704630851746,14
332,332,2003,17,40,2,34,2,-2.5,31.0,18.5,147.25,161.5,1.5,16.75,20.0,136.25,236.25,3.25,0.75,29.25,20.5,153.0,186.75,1.25,15.5,20.25,111.5,226.25,2.0,0.625,1642.0641321222522,1751.9330731058828,0.8386660814285278,6
333,333,2003,24,6,26,17,26,-2.5,22.25,21.25,102.0,246.5,2.5,23.0,20.5,101.25,273.5,1.75,0.75,27.25,20.0,119.0,217.0,1.25,19.0,19.25,88.5,226.75,2.0,0.5,1557.5021160319075,1543.7615860499343,0.1997615396976471,-11
334,334,2003,8,7,12,13,12,-3.5,22.0,16.0,103.0,192.25,1.25,26.5,21.75,185.25,208.0,1.75,0.5,18.25,17.25,76.0,196.25,2.0,19.75,14.25,139.5,151.0,1.75,0.5,1641.3887838160103,1514.1925510993894,0.004517696797847748,-6
